student_id,activity_id,swap_weight,group_id,new_group_id
15242,2628776,0,130701,0
14282,2631962,0,131679,0
14183,2629269,1,130919,0
15556,2624307,0,129117,0
15436,2633771,0,132188,0
14363,2631374,0,131419,0
15502,2631962,0,131681,0
11962,2634929,0,132574,0
15064,2633727,0,132138,0
15048,2628856,1,130707,0
12889,2629590,0,131088,0
14433,2631867,0,131585,0
16633,2626486,0,129986,0
16113,2627936,0,130440,0
12030,2625703,0,129730,0
15359,2624559,1,129240,0
16008,2635466,0,132703,0
14097,2625751,0,129755,0
14438,2628776,0,130699,0
15140,2636994,0,134441,0
14278,2633760,0,132176,0
15123,2624559,1,129239,0
16037,2627808,0,130411,0
12622,2624608,0,129265,0
16162,2635466,0,132702,0
15513,2631761,0,131580,0
14282,2626775,0,130099,0
15513,2635892,0,132764,0
14449,2631017,0,131361,0
13910,2630853,1,131248,0
15499,2635462,0,132694,0
15193,2626067,0,129831,0
15071,2633771,0,132189,0
15027,2631895,0,131615,0
14166,2627269,0,130272,0
15476,2635193,1,132662,0
16389,2624407,0,129167,0
16582,2626815,1,130132,0
14063,2634674,0,132471,0
16282,2626518,0,130017,0
12920,2634236,1,132336,0
16297,2624429,0,129185,0
12131,2629246,0,130899,0
15273,2626166,0,129885,0
11911,2631017,0,131361,0
15074,2635852,0,132748,0
16191,2626815,0,130138,0
15452,2631867,0,131586,0
15251,2635466,0,132703,0
12622,2623939,0,128947,0
16520,2630208,1,131171,0
14351,2631888,0,131606,0
15188,2624307,0,129115,0
15141,2626157,1,129872,0
12727,2632026,0,131743,0
14358,2634701,1,132496,0
14436,2628087,1,130532,0
16291,2639803,0,133931,0
12986,2634360,0,132382,0
15454,2631867,0,131587,0
15066,2627493,1,130359,0
16258,2635466,0,132699,0
11667,2635050,0,132644,0
12622,2624576,0,129256,0
16314,2626518,0,130017,0
12678,2633983,0,132241,0
16115,2635462,0,132696,0
15171,2628870,0,130720,0
14550,2635009,1,132612,0
15317,2636584,0,133848,0
15015,2624440,0,129199,0
15091,2631867,0,131589,0
15567,2635462,0,132694,0
11616,2634674,0,132472,0
14528,2634674,0,132475,0
16259,2635462,0,132694,0
16338,2626715,0,130038,0
16081,2626755,0,130068,0
16143,2627787,0,130383,0
11724,2636383,0,133661,0
11795,2634674,1,132476,0
12959,2627629,1,130370,0
12003,2634242,1,132342,0
15461,2633727,0,132142,0
15173,2631976,0,131706,0
15124,2631761,1,131579,0
14092,2634387,0,132411,0
15335,2633771,0,132188,0
16164,2626795,0,130117,0
16587,2635462,1,132695,0
16544,2624440,0,129202,0
15430,2627088,0,130220,0
16526,2627936,0,130439,0
15659,2628870,0,130729,0
16115,2624429,0,129187,0
11050,2628573,0,130670,0
14524,2626715,1,130033,0
15096,2631895,0,131616,0
15421,2631895,0,131613,0
14151,2624199,0,129032,0
16466,2629684,0,131160,0
14446,2631902,0,131621,0
14211,2634833,0,132553,0
15484,2626775,0,130097,0
15361,2626148,0,129867,0
15193,2624464,0,129221,0
15430,2627097,0,130228,0
16413,2626715,0,130025,0
14290,2632964,0,131876,0
13042,2631276,0,131393,0
15107,2627297,0,130278,0
15135,2635896,1,132767,0
13095,2631909,0,131638,0
14097,2634929,0,132574,0
15091,2628870,0,130730,0
15567,2626964,0,130195,0
16027,2628087,1,130530,0
11050,2629578,0,131077,0
14260,2634749,0,132519,0
11856,2630715,1,131221,0
12642,2634646,0,132466,0
13107,2634800,0,132545,0
14282,2628042,0,130476,0
16292,2624429,1,129189,0
16261,2626456,0,129955,0
15171,2628776,0,130701,0
14211,2624157,1,129014,0
15114,2633760,0,132173,0
15250,2631962,0,131681,0
15223,2624544,0,129224,0
14109,2634712,0,132507,0
15062,2633738,0,132147,0
15186,2635852,0,132748,0
12891,2634683,0,132478,0
14288,2627493,0,130360,0
14377,2636827,0,134245,0
15454,2628856,0,130715,0
16297,2626486,0,129988,0
15449,2636994,0,134441,0
14092,2636691,0,134104,0
16027,2626775,1,130081,0
15368,2624569,1,129249,0
16338,2628312,0,130548,0
14528,2630893,0,131304,0
15392,2631532,0,131450,0
16643,2626815,0,130132,0
12726,2629553,0,131053,0
10827,2629394,0,130994,0
15134,2631902,1,131622,0
13917,2629284,0,130936,0
15595,2632068,0,131751,0
15186,2626953,1,130184,0
16643,2635462,0,132695,0
13050,2634378,0,132399,0
15062,2635193,0,132662,0
15020,2627269,0,130272,0
15649,2635193,0,132663,0
15567,2627097,0,130226,0
12652,2636010,0,132790,0
15212,2631902,0,131622,0
15193,2635466,1,132703,0
16297,2626964,0,130194,0
15567,2635466,0,132705,0
12762,2625746,0,129748,0
15507,2635892,0,132763,0
15283,2628042,1,130474,0
12663,2624647,0,129277,0
14243,2635035,0,132632,0
15273,2624564,0,129244,0
11581,2628387,0,130588,0
12634,2628465,0,130637,0
15020,2624544,1,129226,0
15430,2627787,0,130377,0
12970,2629261,0,130912,0
15522,2635193,0,132662,0
12769,2634293,0,132365,0
14281,2631955,0,131675,0
14258,2631867,0,131587,0
16042,2627913,0,130421,0
14465,2627629,1,130371,0
13950,2629246,0,130900,0
11796,2635900,0,132773,0
15253,2628870,0,130723,0
14546,2630959,0,131332,0
11590,2636551,0,133811,0
14347,2634743,0,132513,0
15535,2635193,0,132664,0
16219,2626795,0,130118,0
12003,2636126,0,132806,0
13016,2632026,1,131743,0
14286,2631276,0,131393,0
15454,2631962,0,131681,0
15153,2626157,0,129874,0
15070,2631962,0,131680,0
14353,2627381,0,130334,0
14180,2629284,0,130933,0
12620,2635788,0,132734,0
16613,2631532,0,131448,0
11687,2628555,0,130652,0
14291,2630893,1,131299,0
11800,2634254,1,132354,0
15511,2626518,0,130016,0
11729,2627307,0,130285,0
15600,2626944,0,130175,0
16091,2635466,0,132704,0
15106,2631948,0,131669,0
14282,2631888,0,131605,0
15091,2633636,0,132122,0
14446,2628856,0,130708,0
14255,2634833,0,132553,0
14126,2624569,0,129251,0
16543,2629684,0,131162,0
16113,2628087,1,130504,0
13095,2631948,0,131667,0
15182,2628884,0,130735,0
15122,2626506,1,130002,0
14316,2627097,0,130233,0
15062,2631895,0,131615,0
15511,2631895,0,131616,0
13050,2629582,0,131082,0
14278,2631909,0,131634,0
15027,2631874,0,131594,0
15104,2631888,0,131607,0
14351,2626775,0,130086,0
15659,2631962,0,131681,0
15088,2624307,0,129117,0
13995,2630943,0,131318,0
14404,2629045,1,130794,0
12907,2631881,0,131603,0
15349,2631888,0,131609,0
15107,2627324,0,130311,0
13910,2630893,0,131287,0
15449,2633727,0,132144,0
15611,2626795,0,130105,0
15272,2631902,0,131623,0
12726,2634798,0,132543,0
11729,2626944,0,130175,0
15452,2633749,1,132162,0
15461,2626715,0,130030,0
16170,2635462,0,132694,0
14373,2631881,0,131600,0
15276,2628856,1,130710,0
15250,2631909,0,131645,0
15219,2624549,0,129231,0
12895,2634701,0,132497,0
15502,2633716,0,132131,0
14543,2633760,0,132177,0
15123,2626953,0,130183,0
16614,2626496,0,130001,0
12758,2636809,0,134236,0
13958,2629130,0,130828,0
14433,2631888,0,131608,0
15217,2627913,0,130419,0
15502,2631867,0,131587,0
16191,2628087,0,130517,0
15091,2631969,0,131688,0
15106,2627493,0,130359,0
14007,2626009,0,129823,0
16115,2626496,0,129994,0
14097,2635035,0,132637,0
15171,2633771,0,132186,0
12003,2635022,0,132618,0
15198,2636994,0,134441,0
12889,2634405,1,132427,0
16258,2635462,0,132696,0
10555,2634692,1,132493,0
15273,2635888,0,132760,0
16264,2626735,0,130052,0
15043,2625894,0,129795,0
14419,2631902,0,131621,0
15659,2633727,0,132143,0
16304,2628312,0,130568,0
15053,2626067,0,129831,0
14022,2634405,0,132430,0
12714,2629185,0,130858,0
16191,2631532,0,131431,0
14104,2636951,0,134383,0
14416,2631902,0,131620,0
14316,2639803,0,133931,0
12729,2627381,0,130335,0
12629,2623941,0,128949,0
14097,2629492,0,131040,0
12714,2635576,0,132709,0
13943,2635022,0,132616,0
15134,2631761,1,131579,0
15388,2631902,0,131624,0
16028,2632068,1,131751,0
14080,2636932,0,134374,0
14268,2629439,0,131012,0
13977,2631761,0,131581,0
16545,2626815,0,130132,0
16544,2635661,0,132718,0
12643,2634798,0,132543,0
12634,2628631,0,130678,0
14281,2635900,0,132771,0
16170,2628087,0,130520,0
15435,2631948,0,131669,0
14126,2624544,0,129227,0
16019,2635462,0,132694,0
12643,2634683,0,132485,0
15223,2635896,0,132769,0
15428,2628856,0,130715,0
14288,2636743,0,134130,0
15219,2626926,0,130158,0
12620,2637029,0,134474,0
10942,2634683,1,132480,0
16042,2627787,0,130387,0
16182,2631532,0,131435,0
12923,2625741,0,129743,0
15195,2627493,0,130360,0
15196,2631895,1,131615,0
15040,2626148,1,129863,0
14224,2629433,0,131007,0
15071,2631969,0,131689,0
15253,2631902,0,131620,0
16450,2635661,0,132718,0
14436,2626795,0,130112,0
15208,2624295,1,129102,0
11590,2634143,0,132277,0
12736,2634692,0,132487,0
12895,2630853,0,131252,0
15507,2635900,1,132773,0
12053,2635290,0,132672,0
14055,2632937,0,131874,0
15108,2624559,0,129240,0
14111,2625396,0,129650,0
13017,2626476,0,129973,0
16543,2632226,1,131786,0
14094,2636994,0,134441,0
14022,2629553,0,131052,0
15242,2631874,0,131592,0
15242,2631761,0,131580,0
14268,2629402,0,131000,0
15242,2633771,0,132186,0
14456,2636994,0,134441,0
12069,2629388,1,130988,0
16112,2626755,0,130069,0
16294,2629684,0,131165,0
12986,2628359,0,130581,0
11796,2626157,0,129875,0
15611,2633716,0,132129,0
15208,2631962,0,131679,0
14168,2636383,0,133661,0
15071,2631902,1,131622,0
14283,2636383,0,133661,0
14224,2634674,0,132471,0
16007,2627629,0,130370,0
15452,2631881,1,131598,0
16057,2626755,0,130066,0
15435,2627493,0,130359,0
15064,2631962,0,131680,0
11729,2626953,0,130185,0
12653,2636683,0,134087,0
14312,2629139,0,130838,0
16086,2627936,0,130441,0
15379,2633738,0,132148,0
15437,2633760,0,132176,0
14358,2624232,1,129071,0
15368,2635884,0,132757,0
16101,2635661,0,132718,0
14404,2629042,0,130791,0
12663,2634236,0,132332,0
15142,2631881,0,131599,0
15476,2624549,0,129229,0
14211,2634743,0,132513,0
15112,2624554,1,129237,0
12629,2635022,1,132619,0
15249,2636584,0,133848,0
15507,2624544,0,129225,0
14007,2634387,0,132411,0
16113,2631374,0,131422,0
14373,2636994,0,134441,0
16643,2635703,0,132724,0
12718,2632026,0,131744,0
15435,2636743,0,134130,0
16601,2624816,0,129321,0
12830,2634929,0,132574,0
16011,2627787,0,130374,0
15104,2628884,0,130736,0
15153,2624549,1,129232,0
16167,2635661,0,132718,0
12731,2634396,0,132419,0
13951,2630893,0,131304,0
16410,2626815,0,130122,0
12980,2630893,0,131298,0
14166,2626917,0,130152,0
12726,2632026,0,131743,0
16143,2627629,0,130369,0
16011,2624374,0,129130,0
14346,2631969,0,131688,0
16278,2630329,0,131178,0
15104,2631969,0,131687,0
14433,2635193,1,132661,0
15335,2626715,0,130032,0
14203,2628776,1,130699,0
15153,2626917,0,130152,0
16206,2627913,0,130430,0
15026,2628776,1,130701,0
12056,2634861,0,132556,0
15461,2627936,0,130441,0
14346,2633636,0,132122,0
14456,2631888,0,131608,0
15368,2626166,1,129879,0
12907,2631874,0,131593,0
15123,2626166,0,129884,0
14351,2631902,0,131623,0
15128,2626944,0,130181,0
16240,2624407,0,129170,0
16297,2624451,0,129208,0
15513,2631948,0,131670,0
12727,2634236,0,132336,0
16343,2632068,0,131750,0
14347,2634833,0,132553,0
15134,2631867,0,131588,0
15317,2633738,0,132149,0
16343,2626815,0,130124,0
16044,2627115,0,130248,0
12695,2633632,0,132117,0
15090,2636584,0,133848,0
14481,2624295,1,129104,0
16261,2626506,0,130003,0
15452,2628856,0,130711,0
15280,2624307,0,129115,0
16258,2626259,0,129947,0
15124,2631895,0,131612,0
15065,2626944,0,130178,0
13089,2631969,1,131689,0
14456,2631881,0,131600,0
12838,2635035,0,132630,0
16104,2627106,0,130239,0
15599,2626476,0,129973,0
16270,2627936,0,130440,0
16422,2635462,0,132696,0
15134,2631948,0,131670,0
14255,2625611,0,129689,0
16544,2627070,0,130200,0
15031,2636584,0,133848,0
