group1_id,group2_id
113605,114883
113609,113856
113611,114215
113611,114216
113611,114217
113611,114218
113612,113613
113612,114217
113612,114218
113612,114219
113612,114220
113613,113612
113613,113694
113613,114217
113613,114218
113613,114219
113613,114220
113615,114227
113615,114228
113615,114229
113615,114230
113616,113617
113616,114229
113616,114230
113616,114231
113616,114232
113617,113616
113619,113855
113623,116305
113624,113625
113625,113624
113626,113627
113627,113626
113629,113630
113630,113629
113631,114243
113631,114244
113631,114245
113631,114246
113634,114368
113635,114371
113639,113640
113639,114217
113639,114218
113639,114219
113639,114220
113640,113639
113640,114217
113640,114218
113640,114219
113640,114220
113644,113645
113644,114229
113644,114230
113644,114231
113644,114232
113645,113644
113645,114229
113645,114230
113645,114231
113645,114232
113648,113689
113650,113651
113650,113694
113651,113650
113655,114243
113655,114244
113655,114245
113655,114246
113656,113657
113656,114245
113656,114246
113657,113656
113657,114245
113657,114246
113661,114365
113662,114366
113662,114367
113662,114884
113664,114371
113666,114365
113666,114882
113666,114883
113667,114366
113675,113676
113676,113675
113677,114311
113677,116305
113679,113680
113680,113679
113689,113648
113689,113807
113689,113855
113689,113856
113689,114129
113689,114158
113689,114347
113689,114843
113690,113691
113690,113817
113690,113857
113690,114803
113690,114844
113690,114853
113691,113690
113691,113817
113691,113857
113691,114133
113691,114337
113691,114853
113692,113693
113692,113859
113692,113860
113693,113692
113694,113613
113694,113650
113694,113695
113695,113694
113707,113710
113708,113711
113708,113855
113708,113856
113710,113707
113710,113713
113710,114249
113710,114250
113711,113708
113711,113855
113711,113856
113713,113710
113713,113715
113713,114249
113713,114250
113715,113713
113715,114249
113715,114250
113722,113723
113722,113724
113722,113725
113723,113722
113723,113724
113723,113725
113723,114366
113724,113722
113724,113723
113724,113725
113724,113726
113724,113727
113725,113722
113725,113723
113725,113724
113725,113726
113725,113727
113725,114365
113726,113724
113726,113725
113726,113727
113726,113728
113726,113729
113727,113724
113727,113725
113727,113726
113727,113728
113727,113729
113728,113726
113728,113727
113728,113729
113728,113730
113728,113731
113728,114255
113729,113726
113729,113727
113729,113728
113729,113730
113729,113731
113730,113728
113730,113729
113730,113731
113730,113732
113730,113733
113731,113728
113731,113729
113731,113730
113731,113732
113731,113733
113732,113730
113732,113731
113732,113733
113732,113734
113732,113735
113733,113730
113733,113731
113733,113732
113733,113734
113733,113735
113734,113732
113734,113733
113734,113735
113734,113736
113734,113737
113734,116305
113735,113732
113735,113733
113735,113734
113735,113736
113735,113737
113736,113734
113736,113735
113736,113737
113736,113738
113736,113739
113736,114257
113737,113734
113737,113735
113737,113736
113737,113738
113737,113739
113738,113736
113738,113737
113738,113739
113738,113740
113738,113741
113739,113736
113739,113737
113739,113738
113739,113740
113739,113741
113740,113738
113740,113739
113740,113741
113740,113742
113740,113743
113741,113738
113741,113739
113741,113740
113741,113742
113741,113743
113742,113740
113742,113741
113742,113743
113742,113744
113742,113745
113743,113740
113743,113741
113743,113742
113743,113744
113743,113745
113744,113742
113744,113743
113744,113745
113744,113746
113744,113747
113745,113742
113745,113743
113745,113744
113746,113744
113746,113747
113746,113748
113746,113749
113747,113744
113747,113746
113747,113748
113747,113749
113748,113746
113748,113747
113748,113749
113748,113750
113748,113751
113749,113746
113749,113747
113749,113748
113749,113750
113749,113751
113750,113748
113750,113749
113750,113751
113751,113748
113751,113749
113751,113750
113756,113757
113756,113856
113757,113756
113757,113856
113773,113774
113773,113775
113773,113776
113774,113773
