group_id,students_cnt,min,min_preferred,max,max_preferred
103236,1,0,0,1,0
103238,14,0,0,16,16
103240,0,0,0,16,16
103241,1,0,0,1,0
103242,0,0,0,16,16
103244,15,0,0,16,16
103246,1,0,0,1,0
103248,16,0,0,16,16
103250,14,0,0,16,16
103251,1,0,0,1,0
103252,15,0,0,16,16
103253,15,0,0,16,16
103254,16,0,0,16,16
103256,1,0,0,1,0
103259,15,0,0,16,16
103266,0,0,0,0,0
103270,13,0,0,14,14
103271,14,0,0,14,14
103272,14,0,0,14,14
103273,14,0,0,14,14
103274,0,0,0,0,0
103275,13,0,0,14,14
103277,13,0,0,14,14
103280,14,0,0,14,14
103282,0,0,0,0,0
103285,14,0,0,14,14
103287,14,0,0,14,14
103288,14,0,0,14,14
103289,14,0,0,14,14
103290,0,0,0,0,0
103291,14,0,0,14,14
103292,14,0,0,14,14
103293,14,0,0,14,14
103294,13,0,0,14,14
103295,14,0,0,14,14
103298,0,0,0,0,0
103300,14,0,0,14,14
103302,12,0,0,14,14
103306,0,0,0,0,0
103311,14,0,0,14,14
103319,0,0,0,0,0
103320,26,0,0,26,26
103321,26,0,0,26,26
103323,16,0,0,26,26
103324,26,0,0,26,26
103326,0,0,0,0,0
103327,26,0,0,26,26
103328,20,0,0,26,26
103330,27,0,0,27,26
103332,28,0,0,28,26
103333,0,0,0,0,0
103335,24,0,0,26,26
103336,25,0,0,26,26
103338,26,0,0,26,26
103351,1,0,0,1,0
103352,25,0,0,30,30
103353,25,0,0,30,30
103356,27,0,0,30,30
103357,26,0,0,30,30
103358,27,0,0,30,30
103361,0,0,0,0,0
103364,24,20,20,30,30
103365,29,20,20,30,30
103366,23,20,20,30,30
103367,26,20,20,30,30
103370,23,20,20,30,30
103371,0,0,0,0,0
103372,25,20,20,30,30
103375,24,20,20,30,30
103377,30,20,20,30,30
103380,24,20,20,30,30
103381,0,0,0,0,0
103382,25,20,20,30,30
103383,28,20,20,30,30
103385,25,20,20,30,30
103386,25,20,20,30,30
103387,25,20,20,30,30
103389,25,20,20,30,30
103390,25,20,20,30,30
103391,0,0,0,0,0
103393,24,20,20,30,30
103398,30,20,20,30,30
103401,0,0,0,0,0
103403,31,18,18,31,30
103405,22,18,18,30,30
103406,29,18,18,30,30
103408,25,18,18,30,30
103409,27,18,18,30,30
103411,1,0,0,1,0
103412,24,20,20,30,30
103413,25,20,20,30,30
103416,26,20,20,30,30
103418,31,20,20,31,30
103419,28,20,20,30,30
103421,0,0,0,0,0
103423,0,0,0,30,30
103425,0,0,0,30,30
103429,0,0,0,30,30
103430,0,0,0,30,30
103433,1,0,0,1,0
103434,117,99,99,117,115
103435,81,71,71,85,85
103437,9,0,0,9,0
103438,19,0,0,22,22
103439,22,0,0,22,22
103440,22,0,0,22,22
103441,9,0,0,9,0
103442,20,0,0,22,22
103443,21,0,0,22,22
103444,22,0,0,22,22
103445,9,0,0,9,0
103446,21,0,0,23,23
103447,22,0,0,22,22
103448,22,0,0,22,22
103449,9,0,0,9,0
103450,22,0,0,22,22
103451,22,0,0,22,22
103452,21,0,0,22,22
103453,9,0,0,9,0
103454,21,0,0,22,22
103455,22,0,0,22,22
103456,22,0,0,22,22
103457,9,0,0,9,0
103458,21,0,0,22,22
103459,22,0,0,22,22
103460,21,0,0,22,22
103466,0,0,0,0,0
103467,18,0,0,18,17
103468,17,0,0,17,17
103469,16,0,0,17,17
103470,0,0,0,0,0
103472,17,0,0,17,17
103473,17,0,0,17,17
103474,0,0,0,0,0
103475,17,0,0,17,17
103476,16,0,0,17,17
103528,0,0,0,0,0
103529,82,79,79,84,84
103530,84,81,81,84,84
103532,88,82,82,88,84
103533,89,81,81,89,84
103534,86,81,81,86,84
103535,84,81,81,84,84
103536,88,81,81,88,84
103860,0,0,0,0,0
103861,13,0,0,16,16
103862,14,0,0,16,16
103863,0,0,0,0,0
103864,13,0,0,16,16
103865,14,0,0,16,16
103869,0,0,0,0,0
103871,13,0,0,16,16
103872,0,0,0,0,0
103873,14,0,0,16,16
103884,4,0,0,4,0
103885,20,18,18,26,26
103886,26,18,18,26,26
103887,4,0,0,4,0
103888,21,18,18,26,26
103889,25,18,18,26,26
103890,4,0,0,4,0
103891,25,18,18,26,26
103893,4,0,0,4,0
103894,26,18,18,26,26
103902,3,0,0,3,0
103903,5,0,0,12,12
103914,1,0,0,1,0
103915,0,0,0,0,0
103922,2,0,0,2,0
103924,18,0,0,18,18
103925,18,0,0,18,18
103926,18,0,0,18,18
103927,18,0,0,18,18
103928,2,0,0,2,0
103929,18,0,0,18,18
103930,18,0,0,18,18
103931,18,0,0,18,18
103932,18,0,0,18,18
103933,15,0,0,18,18
103934,0,0,0,0,0
103935,18,0,0,18,18
103936,18,0,0,18,18
103937,18,0,0,18,18
